619																					
Blg_LB	Stories	height	Year	T1	T2	Area	IM	Site_CD	Site_GP	YieldOver	PeakOver	YieldStiff	PGA	dt	Ttime	StrucType	matcodeinput	OutputCtrl	BlgCondition	MasonryWallRatio	Width
20	3	9	1970	-1	-1	1142.96	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
21	8	20	2011	-1	-1	8427	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
22	11	27.5	2011	-1	-1	3948.28	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
23	2	8	1980	-1	-1	1982.26	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
24	2	6	1980	-1	-1	128.702	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
25	2	6	1980	-1	-1	217.712	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
26	2	6	1980	-1	-1	199.368	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
27	2	6	1980	-1	-1	153.661	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
28	2	6	1980	-1	-1	43.7642	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
29	2	6	1980	-1	-1	90.3421	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
30	2	6	1980	-1	-1	29.431	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
31	2	6	1980	-1	-1	81.5233	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
32	2	6	1980	-1	-1	42.3873	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
33	2	6	1980	-1	-1	48.047	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
34	3	7.5	1970	-1	-1	1995.91	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
35	3	7.5	1970	-1	-1	1085.36	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
36	1	10	2008	-1	-1	10050.7	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
37	2	10	2009	-1	-1	3764.88	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
38	1	4.5	1990	-1	-1	3373.31	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
39	1	10	2001	-1	-1	4070.03	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
40	5	12.5	1990	-1	-1	549.053	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
41	5	12.5	1990	-1	-1	504.059	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
42	5	12.5	1990	-1	-1	553.789	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
43	2	6.4	1983	-1	-1	1299.22	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
44	7	17.5	1990	-1	-1	873.308	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
45	2	5	1970	-1	-1	248.308	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
46	2	5	1970	-1	-1	164.242	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
47	5	14	1970	-1	-1	716.509	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
48	3	9	1980	-1	-1	529.77	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
49	5	14	1990	-1	-1	693.166	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
50	5	16	2009	-1	-1	3777.74	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
51	4	16	1995	-1	-1	630	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
52	1	4	1995	-1	-1	2473.11	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
53	2	8	1995	-1	-1	1753.21	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
54	2	6	1995	-1	-1	199.763	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
55	2	6	1995	-1	-1	295.67	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
56	2	12	1995	-1	-1	182.51	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
57	1	2.8	1995	-1	-1	1199.59	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
58	2	6	1995	-1	-1	186.4	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
59	4	11.2	1970	-1	-1	1138.8	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
60	4	11.2	1970	-1	-1	1107.59	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
61	1	3	1990	-1	-1	749.366	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
62	4	11.2	1970	-1	-1	791.23	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
63	4	11.2	1970	-1	-1	795.606	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
64	4	12.8	1931	-1	-1	1506.62	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
65	4	12.8	2004	-1	-1	1696.53	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
66	3	9.6	1932	-1	-1	782.064	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
67	3	9.6	1934	-1	-1	958.194	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
68	3	9.6	1930	-1	-1	1559.1	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
69	3	9.6	1934	-1	-1	1733.46	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
70	2	6.4	1934	-1	-1	1388.11	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
71	4	12.8	1954	-1	-1	2098.59	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
72	4	12.8	1954	-1	-1	2410.25	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
73	4	12.8	1954	-1	-1	869.034	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
74	4	12.8	1954	-1	-1	872.564	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
75	3	9.6	1951	-1	-1	681.189	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
76	3	9.6	1951	-1	-1	669.242	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
77	4	14	1999	-1	-1	2958.18	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
78	2	12	1971	-1	-1	4641.32	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
79	4	16	1987	-1	-1	1104.77	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
80	2	8	1987	-1	-1	1467.28	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
81	1	3.2	1970	-1	-1	948.178	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
82	4	14	1986	-1	-1	1452.7	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
83	1	3.2	1972	-1	-1	1371.68	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
84	3	9.6	1932	-1	-1	1018.25	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
85	2	6.4	1922	-1	-1	1100.35	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
86	3	9	1954	-1	-1	845.181	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
87	2	6	1952	-1	-1	650.773	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
88	3	9.6	1919	-1	-1	1319.63	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
89	1	3.6	1915	-1	-1	954.371	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
90	1	3.6	1915	-1	-1	2008.52	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
91	4	12.8	1932	-1	-1	739.594	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
92	4	12.8	1930	-1	-1	1400.69	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
93	3	9.6	1954	-1	-1	285.514	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
94	3	9.6	1954	-1	-1	1507.37	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
95	4	12.8	1954	-1	-1	395.873	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
96	3	9.6	1954	-1	-1	1501.07	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
97	3	9.6	1954	-1	-1	250.977	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
98	5	16	1954	-1	-1	1290.58	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
99	6	19.2	1954	-1	-1	1941.71	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
100	4	12.8	1950	-1	-1	984.994	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
101	1	3.2	1950	-1	-1	438.699	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
102	2	6.4	1950	-1	-1	671.142	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
103	1	3.2	1950	-1	-1	1033.91	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
104	7	24.5	1987	-1	-1	889.73	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
105	2	6.4	1980	-1	-1	435.581	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
106	1	3.2	1930	-1	-1	361.812	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
107	1	3.2	1989	-1	-1	367.541	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
108	1	3.2	1970	-1	-1	134.803	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
109	1	3.2	1980	-1	-1	997.127	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
110	3	9.6	1951	-1	-1	375.023	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
111	3	9.6	1940	-1	-1	700.709	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
112	4	12.8	1988	-1	-1	2311.68	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
113	2	6.4	1911	-1	-1	368.749	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
114	3	9.6	1955	-1	-1	3721.79	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
115	3	9.6	1934	-1	-1	1037.58	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
116	2	6.4	1920	-1	-1	562.672	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
117	1	3.2	1950	-1	-1	1704.46	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
118	1	3.2	1999	-1	-1	343.357	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
119	3	9.6	2001	-1	-1	3513.29	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
120	3	9.6	1990	-1	-1	1807.23	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
121	1	3.2	1980	-1	-1	779.529	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
122	1	3.2	1980	-1	-1	656.988	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
123	1	3.2	1980	-1	-1	1045.74	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
124	1	3.2	1980	-1	-1	433.914	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
125	1	3.2	1980	-1	-1	206.369	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
126	3	10.5	1995	-1	-1	2315.04	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
127	2	6.4	1916	-1	-1	2944.65	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
128	3	10.5	2006	-1	-1	8221.19	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
129	3	9.6	2000	-1	-1	818.214	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
130	4	14	1988	-1	-1	784.17	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
131	2	7	1988	-1	-1	2129.84	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
132	3	9.6	1935	-1	-1	650.94	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
133	2	7	1935	-1	-1	1135.96	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
134	1	3.2	1981	-1	-1	646.693	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
135	1	5	1981	-1	-1	650.268	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
136	2	6.4	1981	-1	-1	1057.75	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
137	1	3.2	1952	-1	-1	397.666	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
138	2	7	1952	-1	-1	1471.89	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
139	4	14.4	1987	-1	-1	6928.86	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
140	4	14	1916	-1	-1	3602.07	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
141	2	7.2	1960	-1	-1	1247.47	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
142	2	7.2	1960	-1	-1	144.02	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
143	2	7.2	1960	-1	-1	999.734	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
144	2	7.2	1960	-1	-1	374.881	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
145	2	7.2	1960	-1	-1	622.921	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
146	2	7.2	1960	-1	-1	177.212	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
147	2	7.2	1960	-1	-1	399.742	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
148	2	7.2	1960	-1	-1	363.062	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
149	2	7.2	1960	-1	-1	510.938	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
150	2	7.2	1960	-1	-1	57.0238	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
151	2	7.2	1960	-1	-1	122.468	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
152	2	7.2	1960	-1	-1	122.761	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
153	2	7.2	1960	-1	-1	23.3939	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
154	3	10.5	1999	-1	-1	4586.19	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
155	1	3.5	1990	-1	-1	198.053	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
156	1	3.5	1990	-1	-1	202.609	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
157	1	3.5	1990	-1	-1	185.591	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
158	1	3.5	1990	-1	-1	21.7974	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
159	1	3.5	1990	-1	-1	119.662	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
160	1	3.5	1990	-1	-1	85.2714	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
161	1	3.5	1990	-1	-1	142.299	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
162	1	3.5	1990	-1	-1	142.945	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
163	1	3.5	1990	-1	-1	136.176	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
164	1	3.5	1990	-1	-1	136.015	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
165	1	3.5	1990	-1	-1	40.7071	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
166	1	3.5	1990	-1	-1	148.75	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
167	1	3.5	1990	-1	-1	166.896	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
168	1	3.5	1990	-1	-1	141.968	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
169	1	3.5	1990	-1	-1	183.873	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
170	1	3.5	1990	-1	-1	152.686	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
171	1	3.5	1990	-1	-1	107.643	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
172	1	3.5	1990	-1	-1	42.1054	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
173	1	3.5	1990	-1	-1	22.693	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
174	1	3.5	1990	-1	-1	45.5319	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
175	1	3.5	1990	-1	-1	168.389	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
176	1	3.5	1990	-1	-1	159.548	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
177	1	3.5	1990	-1	-1	32.3802	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
178	1	3.5	1990	-1	-1	32.8956	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
179	1	3.5	1990	-1	-1	39.0753	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
180	1	3.5	1990	-1	-1	306.453	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
181	1	3.5	1990	-1	-1	160.597	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
182	1	3.5	1990	-1	-1	161.921	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
183	1	3.5	1990	-1	-1	43.6437	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
184	1	3.5	1990	-1	-1	162.842	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
185	1	3.5	1990	-1	-1	146.462	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
186	1	3.5	1990	-1	-1	45.6993	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
187	1	3.5	1990	-1	-1	150.237	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
188	1	3.5	1990	-1	-1	114.379	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
189	1	3.5	1990	-1	-1	35.7481	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
190	1	3.5	1990	-1	-1	43.1496	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
191	1	3.5	1990	-1	-1	44.4598	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
192	1	3.5	1990	-1	-1	143.399	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
193	1	3.5	1990	-1	-1	113.941	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
194	1	3.5	1990	-1	-1	14.2903	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
195	1	3.5	1990	-1	-1	37.5506	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
196	1	3.5	1990	-1	-1	21.9647	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
197	1	3.5	1990	-1	-1	122.923	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
198	1	3.5	1990	-1	-1	127.585	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
199	1	3.5	1990	-1	-1	390.207	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
200	1	3.5	1990	-1	-1	148.926	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
201	1	3.5	1990	-1	-1	147.627	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
202	1	3.5	1990	-1	-1	15.046	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
203	1	3.5	1990	-1	-1	145.597	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
204	1	3.5	1990	-1	-1	29.2713	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
205	1	3.5	1990	-1	-1	146.267	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
206	1	3.5	1990	-1	-1	15.9361	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
207	1	3.5	1990	-1	-1	16.7099	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
208	1	3.5	1990	-1	-1	14.5954	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
209	1	3.5	1990	-1	-1	146.237	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
210	1	3.5	1990	-1	-1	16.4787	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
211	1	3.5	1990	-1	-1	146.786	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
212	1	3.5	1990	-1	-1	29.7107	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
213	1	3.5	1990	-1	-1	15.9274	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
214	1	3.5	1990	-1	-1	15.8471	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
215	1	3.5	1990	-1	-1	17.8388	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
216	1	3.5	1990	-1	-1	31.7565	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
217	1	3.5	1990	-1	-1	16.5782	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
218	1	3.5	1990	-1	-1	17.4281	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
