version,1,,,,,,,,,,,,,,
id,name,strutype,year,occupancy,nStory,storyheight,area,replacementCost,clpsMedian,clpsDispersion,residualMedian,residualDispersion,intensity,autoGenComponents,totalRepairTime(day)
27,bld-27,C1,1980,warehouse,2,3,43.76416,1.14E+05,999,0.5,0.0125,0.3,5,1,180
28,bld-28,C1,1980,warehouse,2,3,90.34207,2.35E+05,999,0.5,0.0125,0.3,5,1,180
29,bld-29,C1,1980,warehouse,2,3,29.43102,7.65E+04,999,0.5,0.0125,0.3,5,1,180
30,bld-30,C1,1980,warehouse,2,3,81.52329,2.12E+05,999,0.5,0.0125,0.3,5,1,180
31,bld-31,C1,1980,warehouse,2,3,42.3873,1.10E+05,999,0.5,0.0125,0.3,5,1,180
32,bld-32,C1,1980,warehouse,2,3,48.04696,1.25E+05,999,0.5,0.0125,0.3,5,1,180
33,bld-33,C1,1970,warehouse,3,2.5,1995.90581,7.78E+06,999,0.5,0.0125,0.3,5,1,180
34,bld-34,C1,1970,warehouse,3,2.5,1085.36165,4.23E+06,999,0.5,0.0125,0.3,5,1,180
35,bld-35,S1,2008,office,1,10,10050.68928,8.54E+06,999,0.5,0.0125,0.3,5,1,180
36,bld-36,C1,2009,office,2,5,3764.88419,9.79E+06,999,0.5,0.0125,0.3,5,1,180
37,bld-37,C1,1990,office,1,4.5,3373.30782,4.39E+06,999,0.5,0.0125,0.3,5,1,180
38,bld-38,C1,2001,office,1,10,4070.02621,5.29E+06,999,0.5,0.0125,0.3,5,1,180
39,bld-39,C2,1990,residence,5,2.5,549.05266,3.84E+06,999,0.5,0.0125,0.3,5,1,180
40,bld-40,C2,1990,residence,5,2.5,504.05943,3.53E+06,999,0.5,0.0125,0.3,5,1,180
41,bld-41,C2,1990,residence,5,2.5,553.78879,3.88E+06,999,0.5,0.0125,0.3,5,1,180
42,bld-42,C1,1983,retail,2,3.2,1299.22165,3.38E+06,999,0.5,0.0125,0.3,5,1,180
43,bld-43,C2,1990,residence,7,2.5,873.30834,8.56E+06,999,0.5,0.0125,0.3,5,1,180
44,bld-44,URM,1970,research,2,2.5,248.30847,4.22E+05,999,0.5,0.0125,0.3,5,1,180
45,bld-45,URM,1970,research,2,2.5,164.24218,2.79E+05,999,0.5,0.0125,0.3,5,1,180
46,bld-46,URM,1970,office,5,2.799999,716.50865,3.05E+06,999,0.5,0.0125,0.3,5,1,180
47,bld-47,C1,1980,office,3,3,529.76985,2.07E+06,999,0.5,0.0125,0.3,5,1,180
48,bld-48,C2,1990,residence,5,2.799999,693.1663,4.85E+06,999,0.5,0.0125,0.3,5,1,180
49,bld-49,C2,2009,office,5,3.2,3777.7394,2.64E+07,999,0.5,0.0125,0.3,5,1,180
50,bld-50,C1,1995,office,4,4,630,3.28E+06,999,0.5,0.0125,0.3,5,1,180
51,bld-51,RM2,1995,research,1,4,2473.10503,2.10E+06,999,0.5,0.0125,0.3,5,1,180
52,bld-52,RM2,1995,research,2,4,1753.21344,2.98E+06,999,0.5,0.0125,0.3,5,1,180
53,bld-53,RM2,1995,research,2,3,199.76315,3.40E+05,999,0.5,0.0125,0.3,5,1,180
54,bld-54,RM2,1995,research,2,3,295.66976,5.03E+05,999,0.5,0.0125,0.3,5,1,180
55,bld-55,RM2,1995,research,2,6,182.51011,3.10E+05,999,0.5,0.0125,0.3,5,1,180
56,bld-56,C1,1995,office,1,2.799999,1199.59379,1.56E+06,999,0.5,0.0125,0.3,5,1,180
57,bld-57,RM2,1995,research,2,3,186.4005,3.17E+05,999,0.5,0.0125,0.3,5,1,180
58,bld-58,C2,1970,residence,4,2.799999,1138.79585,6.38E+06,999,0.5,0.0125,0.3,5,1,180
59,bld-59,C2,1970,residence,4,2.799999,1107.58815,6.20E+06,999,0.5,0.0125,0.3,5,1,180
60,bld-60,C1,1990,research,1,3,749.36554,9.74E+05,999,0.5,0.0125,0.3,5,1,180
61,bld-61,C2,1970,office,4,2.799999,791.22954,4.43E+06,999,0.5,0.0125,0.3,5,1,180
62,bld-62,C2,1970,office,4,2.799999,795.60623,4.46E+06,999,0.5,0.0125,0.3,5,1,180
63,bld-63,URM,1931,office,4,3.2,1506.62378,5.12E+06,999,0.5,0.0125,0.3,5,1,180
64,bld-64,C2,2004,office,4,3.2,1696.52792,9.50E+06,999,0.5,0.0125,0.3,5,1,180
65,bld-65,URM,1932,residence,3,3.2,782.0642,1.99E+06,999,0.5,0.0125,0.3,5,1,180
66,bld-66,URM,1934,residence,3,3.2,958.19424,2.44E+06,999,0.5,0.0125,0.3,5,1,180
67,bld-67,URM,1930,residence,3,3.2,1559.09698,3.98E+06,999,0.5,0.0125,0.3,5,1,180
68,bld-68,URM,1934,office,3,3.2,1733.45568,4.42E+06,999,0.5,0.0125,0.3,5,1,180
69,bld-69,C1,1934,retail,2,3.2,1388.11386,3.61E+06,999,0.5,0.0125,0.3,5,1,180
70,bld-70,URM,1954,residence,4,3.2,2098.59024,7.14E+06,999,0.5,0.0125,0.3,5,1,180
71,bld-71,URM,1954,residence,4,3.2,2410.24829,8.19E+06,999,0.5,0.0125,0.3,5,1,180
72,bld-72,URM,1954,residence,4,3.2,869.03449,2.95E+06,999,0.5,0.0125,0.3,5,1,180
73,bld-73,URM,1954,residence,4,3.2,872.56384,2.97E+06,999,0.5,0.0125,0.3,5,1,180
74,bld-74,URM,1951,residence,3,3.2,681.18905,1.74E+06,999,0.5,0.0125,0.3,5,1,180
75,bld-75,URM,1951,residence,3,3.2,669.24182,1.71E+06,999,0.5,0.0125,0.3,5,1,180
76,bld-76,C2,1999,office,4,3.5,2958.1764,1.66E+07,999,0.5,0.0125,0.3,5,1,180
77,bld-77,C1,1971,office,2,6,4641.31983,1.21E+07,999,0.5,0.0125,0.3,5,1,180
78,bld-78,C1,1987,education,4,4,1104.76618,5.74E+06,999,0.5,0.0125,0.3,5,1,180
79,bld-79,C1,1987,education,2,4,1467.27975,3.81E+06,999,0.5,0.0125,0.3,5,1,180
80,bld-80,C1,1970,office,1,3.2,948.17844,1.23E+06,999,0.5,0.0125,0.3,5,1,180
81,bld-81,RM2,1986,office,4,3.5,1452.70437,4.94E+06,999,0.5,0.0125,0.3,5,1,180
82,bld-82,C1,1972,office,1,3.2,1371.68248,1.78E+06,999,0.5,0.0125,0.3,5,1,180
83,bld-83,C1,1932,education,3,3.2,1018.24938,3.97E+06,999,0.5,0.0125,0.3,5,1,180
84,bld-84,C1,1922,office,2,3.2,1100.34945,2.86E+06,999,0.5,0.0125,0.3,5,1,180
85,bld-85,C1,1954,education,3,3,845.18088,3.30E+06,999,0.5,0.0125,0.3,5,1,180
86,bld-86,URM,1952,education,2,3,650.77327,1.11E+06,999,0.5,0.0125,0.3,5,1,180
87,bld-87,URM,1919,office,3,3.2,1319.62952,3.37E+06,999,0.5,0.0125,0.3,5,1,180
88,bld-88,URM,1915,office,1,3.599999,954.37065,8.11E+05,999,0.5,0.0125,0.3,5,1,180
89,bld-89,URM,1915,office,1,3.599999,2008.52381,1.71E+06,999,0.5,0.0125,0.3,5,1,180
90,bld-90,URM,1932,office,4,3.2,739.59386,2.51E+06,999,0.5,0.0125,0.3,5,1,180
91,bld-91,C2,1930,office,4,3.2,1400.69048,7.84E+06,999,0.5,0.0125,0.3,5,1,180
92,bld-92,URM,1954,residence,3,3.2,285.51436,7.28E+05,999,0.5,0.0125,0.3,5,1,180
93,bld-93,URM,1954,residence,3,3.2,1507.3721,3.84E+06,999,0.5,0.0125,0.3,5,1,180
94,bld-94,URM,1954,residence,4,3.2,395.8732,1.35E+06,999,0.5,0.0125,0.3,5,1,180
95,bld-95,URM,1954,residence,3,3.2,1501.06824,3.83E+06,999,0.5,0.0125,0.3,5,1,180
96,bld-96,URM,1954,residence,3,3.2,250.97695,6.40E+05,999,0.5,0.0125,0.3,5,1,180
97,bld-97,URM,1954,residence,5,3.2,1290.58268,5.48E+06,999,0.5,0.0125,0.3,5,1,180
98,bld-98,URM,1954,residence,6,3.2,1941.70567,9.90E+06,999,0.5,0.0125,0.3,5,1,180
99,bld-99,C2,1950,office,4,3.2,984.99357,5.52E+06,999,0.5,0.0125,0.3,5,1,180
100,bld-100,C1,1950,office,1,3.2,438.69869,5.70E+05,999,0.5,0.0125,0.3,5,1,180
101,bld-101,URM,1950,office,2,3.2,671.14248,1.14E+06,999,0.5,0.0125,0.3,5,1,180
102,bld-102,URM,1950,office,1,3.2,1033.90723,8.79E+05,999,0.5,0.0125,0.3,5,1,180
103,bld-103,C2,1987,education,7,3.5,889.72972,8.72E+06,999,0.5,0.0125,0.3,5,1,180
104,bld-104,RM2,1980,office,2,3.2,435.58096,7.40E+05,999,0.5,0.0125,0.3,5,1,180
105,bld-105,URM,1930,office,1,3.2,361.8121,3.08E+05,999,0.5,0.0125,0.3,5,1,180
106,bld-106,C1,1989,office,1,3.2,367.54092,4.78E+05,999,0.5,0.0125,0.3,5,1,180
107,bld-107,C1,1970,office,1,3.2,134.80268,1.75E+05,999,0.5,0.0125,0.3,5,1,180
108,bld-108,C1,1980,retail,1,3.2,997.12672,1.30E+06,999,0.5,0.0125,0.3,5,1,180
109,bld-109,URM,1951,residence,3,3.2,375.02347,9.56E+05,999,0.5,0.0125,0.3,5,1,180
110,bld-110,URM,1940,office,3,3.2,700.70892,1.79E+06,999,0.5,0.0125,0.3,5,1,180
111,bld-111,C1,1988,office,4,3.2,2311.67692,1.20E+07,999,0.5,0.0125,0.3,5,1,180
112,bld-112,URM,1911,education,2,3.2,368.74904,6.27E+05,999,0.5,0.0125,0.3,5,1,180
113,bld-113,C1,1955,education,3,3.2,3721.78542,1.45E+07,999,0.5,0.0125,0.3,5,1,180
114,bld-114,C1,1934,office,3,3.2,1037.57921,4.05E+06,999,0.5,0.0125,0.3,5,1,180
115,bld-115,URM,1920,office,2,3.2,562.6716,9.57E+05,999,0.5,0.0125,0.3,5,1,180
116,bld-116,URM,1950,office,1,3.2,1704.46081,1.45E+06,999,0.5,0.0125,0.3,5,1,180
117,bld-117,RM2,1999,office,1,3.2,343.35663,2.92E+05,999,0.5,0.0125,0.3,5,1,180
118,bld-118,C1,2001,retail,3,3.2,3513.2948,1.37E+07,999,0.5,0.0125,0.3,5,1,180
119,bld-119,C1,1990,office,3,3.2,1807.23129,7.05E+06,999,0.5,0.0125,0.3,5,1,180
120,bld-120,RM2,1980,office,1,3.2,779.52893,6.63E+05,999,0.5,0.0125,0.3,5,1,180
121,bld-121,RM2,1980,office,1,3.2,656.98768,5.58E+05,999,0.5,0.0125,0.3,5,1,180
122,bld-122,RM2,1980,office,1,3.2,1045.74376,8.89E+05,999,0.5,0.0125,0.3,5,1,180
123,bld-123,RM2,1980,office,1,3.2,433.91439,3.69E+05,999,0.5,0.0125,0.3,5,1,180
124,bld-124,RM2,1980,office,1,3.2,206.3691,1.75E+05,999,0.5,0.0125,0.3,5,1,180
125,bld-125,C1,1995,office,3,3.5,2315.04309,9.03E+06,999,0.5,0.0125,0.3,5,1,180
126,bld-126,URM,1916,office,2,3.2,2944.6508,5.01E+06,999,0.5,0.0125,0.3,5,1,180
127,bld-127,C1,2006,office,3,3.5,8221.18944,3.21E+07,999,0.5,0.0125,0.3,5,1,180
128,bld-128,C1,2000,office,3,3.2,818.21447,3.19E+06,999,0.5,0.0125,0.3,5,1,180
129,bld-129,RM2,1988,healthcare,4,3.5,784.17044,2.67E+06,999,0.5,0.0125,0.3,5,1,180
130,bld-130,C1,1988,healthcare,2,3.5,2129.84354,5.54E+06,999,0.5,0.0125,0.3,5,1,180
131,bld-131,URM,1935,office,3,3.2,650.93971,1.66E+06,999,0.5,0.0125,0.3,5,1,180
132,bld-132,URM,1935,office,2,3.5,1135.96062,1.93E+06,999,0.5,0.0125,0.3,5,1,180
133,bld-133,C1,1981,retail,1,3.2,646.69272,8.41E+05,999,0.5,0.0125,0.3,5,1,180
134,bld-134,C1,1981,retail,1,5,650.26827,8.45E+05,999,0.5,0.0125,0.3,5,1,180
135,bld-135,C1,1981,retail,2,3.2,1057.7472,2.75E+06,999,0.5,0.0125,0.3,5,1,180
136,bld-136,C1,1952,office,1,3.2,397.66559,5.17E+05,999,0.5,0.0125,0.3,5,1,180
137,bld-137,C1,1952,retail,2,3.5,1471.89351,3.83E+06,999,0.5,0.0125,0.3,5,1,180
138,bld-138,RM2,1987,office,4,3.599999,6928.85714,2.36E+07,999,0.5,0.0125,0.3,5,1,180
139,bld-139,URM,1916,office,4,3.5,3602.06691,1.22E+07,999,0.5,0.0125,0.3,5,1,180
140,bld-140,C2,1960,residence,2,3.599999,1247.46629,3.49E+06,999,0.5,0.0125,0.3,5,1,180
141,bld-141,C2,1960,residence,2,3.599999,144.01953,4.03E+05,999,0.5,0.0125,0.3,5,1,180
142,bld-142,C2,1960,residence,2,3.599999,999.73378,2.80E+06,999,0.5,0.0125,0.3,5,1,180
143,bld-143,C2,1960,residence,2,3.599999,374.88057,1.05E+06,999,0.5,0.0125,0.3,5,1,180
144,bld-144,C2,1960,residence,2,3.599999,622.92087,1.74E+06,999,0.5,0.0125,0.3,5,1,180
145,bld-145,C2,1960,residence,2,3.599999,177.21174,4.96E+05,999,0.5,0.0125,0.3,5,1,180
146,bld-146,C2,1960,residence,2,3.599999,399.7419,1.12E+06,999,0.5,0.0125,0.3,5,1,180
147,bld-147,C2,1960,residence,2,3.599999,363.06224,1.02E+06,999,0.5,0.0125,0.3,5,1,180
148,bld-148,C2,1960,residence,2,3.599999,510.93818,1.43E+06,999,0.5,0.0125,0.3,5,1,180
149,bld-149,C2,1960,residence,2,3.599999,57.02375,1.60E+05,999,0.5,0.0125,0.3,5,1,180
150,bld-150,C2,1960,residence,2,3.599999,122.46802,3.43E+05,999,0.5,0.0125,0.3,5,1,180
151,bld-151,C2,1960,residence,2,3.599999,122.76123,3.44E+05,999,0.5,0.0125,0.3,5,1,180
152,bld-152,C2,1960,residence,2,3.599999,23.39393,6.55E+04,999,0.5,0.0125,0.3,5,1,180
153,bld-153,RM2,1999,office,3,3.5,4586.1939,1.17E+07,999,0.5,0.0125,0.3,5,1,180
154,bld-154,RM2,1990,residence,1,3.5,198.05334,1.68E+05,999,0.5,0.0125,0.3,5,1,180
155,bld-155,RM2,1990,residence,1,3.5,202.6089,1.72E+05,999,0.5,0.0125,0.3,5,1,180
156,bld-156,RM2,1990,residence,1,3.5,185.59143,1.58E+05,999,0.5,0.0125,0.3,5,1,180
157,bld-157,RM2,1990,residence,1,3.5,21.79736,1.85E+04,999,0.5,0.0125,0.3,5,1,180
158,bld-158,RM2,1990,residence,1,3.5,119.66237,1.02E+05,999,0.5,0.0125,0.3,5,1,180
159,bld-159,RM2,1990,residence,1,3.5,85.27136,7.25E+04,999,0.5,0.0125,0.3,5,1,180
160,bld-160,RM2,1990,residence,1,3.5,142.29914,1.21E+05,999,0.5,0.0125,0.3,5,1,180
161,bld-161,RM2,1990,residence,1,3.5,142.94487,1.22E+05,999,0.5,0.0125,0.3,5,1,180
162,bld-162,RM2,1990,residence,1,3.5,136.17626,1.16E+05,999,0.5,0.0125,0.3,5,1,180
163,bld-163,RM2,1990,residence,1,3.5,136.01511,1.16E+05,999,0.5,0.0125,0.3,5,1,180
164,bld-164,RM2,1990,residence,1,3.5,40.70713,3.46E+04,999,0.5,0.0125,0.3,5,1,180
165,bld-165,RM2,1990,residence,1,3.5,148.74987,1.26E+05,999,0.5,0.0125,0.3,5,1,180
166,bld-166,RM2,1990,residence,1,3.5,166.89649,1.42E+05,999,0.5,0.0125,0.3,5,1,180
167,bld-167,RM2,1990,residence,1,3.5,141.96841,1.21E+05,999,0.5,0.0125,0.3,5,1,180
168,bld-168,RM2,1990,residence,1,3.5,183.87301,1.56E+05,999,0.5,0.0125,0.3,5,1,180
169,bld-169,RM2,1990,residence,1,3.5,152.68623,1.30E+05,999,0.5,0.0125,0.3,5,1,180
170,bld-170,RM2,1990,residence,1,3.5,107.6432,9.15E+04,999,0.5,0.0125,0.3,5,1,180
171,bld-171,RM2,1990,residence,1,3.5,42.10544,3.58E+04,999,0.5,0.0125,0.3,5,1,180
172,bld-172,RM2,1990,residence,1,3.5,22.69301,1.93E+04,999,0.5,0.0125,0.3,5,1,180
173,bld-173,RM2,1990,residence,1,3.5,45.53188,3.87E+04,999,0.5,0.0125,0.3,5,1,180
174,bld-174,RM2,1990,residence,1,3.5,168.38943,1.43E+05,999,0.5,0.0125,0.3,5,1,180
175,bld-175,RM2,1990,residence,1,3.5,159.54823,1.36E+05,999,0.5,0.0125,0.3,5,1,180
176,bld-176,RM2,1990,residence,1,3.5,32.38022,2.75E+04,999,0.5,0.0125,0.3,5,1,180
177,bld-177,RM2,1990,residence,1,3.5,32.89556,2.80E+04,999,0.5,0.0125,0.3,5,1,180
178,bld-178,RM2,1990,residence,1,3.5,39.0753,3.32E+04,999,0.5,0.0125,0.3,5,1,180
179,bld-179,RM2,1990,residence,1,3.5,306.45323,2.60E+05,999,0.5,0.0125,0.3,5,1,180
180,bld-180,RM2,1990,residence,1,3.5,160.59716,1.37E+05,999,0.5,0.0125,0.3,5,1,180
181,bld-181,RM2,1990,residence,1,3.5,161.92058,1.38E+05,999,0.5,0.0125,0.3,5,1,180
182,bld-182,RM2,1990,residence,1,3.5,43.64369,3.71E+04,999,0.5,0.0125,0.3,5,1,180
183,bld-183,RM2,1990,residence,1,3.5,162.84165,1.38E+05,999,0.5,0.0125,0.3,5,1,180
184,bld-184,RM2,1990,residence,1,3.5,146.46222,1.24E+05,999,0.5,0.0125,0.3,5,1,180
185,bld-185,RM2,1990,residence,1,3.5,45.69932,3.88E+04,999,0.5,0.0125,0.3,5,1,180
186,bld-186,RM2,1990,residence,1,3.5,150.23698,1.28E+05,999,0.5,0.0125,0.3,5,1,180
187,bld-187,RM2,1990,residence,1,3.5,114.3793,9.72E+04,999,0.5,0.0125,0.3,5,1,180
188,bld-188,RM2,1990,residence,1,3.5,35.74808,3.04E+04,999,0.5,0.0125,0.3,5,1,180
189,bld-189,RM2,1990,residence,1,3.5,43.14956,3.67E+04,999,0.5,0.0125,0.3,5,1,180
190,bld-190,RM2,1990,residence,1,3.5,44.45976,3.78E+04,999,0.5,0.0125,0.3,5,1,180
191,bld-191,RM2,1990,residence,1,3.5,143.39935,1.22E+05,999,0.5,0.0125,0.3,5,1,180
192,bld-192,RM2,1990,residence,1,3.5,113.94119,9.68E+04,999,0.5,0.0125,0.3,5,1,180
193,bld-193,RM2,1990,residence,1,3.5,14.29034,1.21E+04,999,0.5,0.0125,0.3,5,1,180
194,bld-194,RM2,1990,residence,1,3.5,37.55064,3.19E+04,999,0.5,0.0125,0.3,5,1,180
195,bld-195,RM2,1990,residence,1,3.5,21.96472,1.87E+04,999,0.5,0.0125,0.3,5,1,180
196,bld-196,RM2,1990,residence,1,3.5,122.92297,1.04E+05,999,0.5,0.0125,0.3,5,1,180
197,bld-197,RM2,1990,residence,1,3.5,127.58514,1.08E+05,999,0.5,0.0125,0.3,5,1,180
198,bld-198,RM2,1990,residence,1,3.5,390.20715,3.32E+05,999,0.5,0.0125,0.3,5,1,180
199,bld-199,RM2,1990,residence,1,3.5,148.92629,1.27E+05,999,0.5,0.0125,0.3,5,1,180
200,bld-200,RM2,1990,residence,1,3.5,147.62683,1.25E+05,999,0.5,0.0125,0.3,5,1,180
201,bld-201,RM2,1990,residence,1,3.5,15.04605,1.28E+04,999,0.5,0.0125,0.3,5,1,180
202,bld-202,RM2,1990,residence,1,3.5,145.59666,1.24E+05,999,0.5,0.0125,0.3,5,1,180
203,bld-203,RM2,1990,residence,1,3.5,29.27129,2.49E+04,999,0.5,0.0125,0.3,5,1,180
204,bld-204,RM2,1990,residence,1,3.5,146.2666,1.24E+05,999,0.5,0.0125,0.3,5,1,180
205,bld-205,RM2,1990,residence,1,3.5,15.93609,1.35E+04,999,0.5,0.0125,0.3,5,1,180
206,bld-206,RM2,1990,residence,1,3.5,16.70987,1.42E+04,999,0.5,0.0125,0.3,5,1,180
207,bld-207,RM2,1990,residence,1,3.5,14.59542,1.24E+04,999,0.5,0.0125,0.3,5,1,180
208,bld-208,RM2,1990,residence,1,3.5,146.23748,1.24E+05,999,0.5,0.0125,0.3,5,1,180
209,bld-209,RM2,1990,residence,1,3.5,16.47866,1.40E+04,999,0.5,0.0125,0.3,5,1,180
210,bld-210,RM2,1990,residence,1,3.5,146.78648,1.25E+05,999,0.5,0.0125,0.3,5,1,180
211,bld-211,RM2,1990,residence,1,3.5,29.71065,2.53E+04,999,0.5,0.0125,0.3,5,1,180
212,bld-212,RM2,1990,residence,1,3.5,15.92735,1.35E+04,999,0.5,0.0125,0.3,5,1,180
213,bld-213,RM2,1990,residence,1,3.5,15.84713,1.35E+04,999,0.5,0.0125,0.3,5,1,180
214,bld-214,RM2,1990,residence,1,3.5,17.83884,1.52E+04,999,0.5,0.0125,0.3,5,1,180
215,bld-215,RM2,1990,residence,1,3.5,31.75648,2.70E+04,999,0.5,0.0125,0.3,5,1,180
216,bld-216,RM2,1990,residence,1,3.5,16.57819,1.41E+04,999,0.5,0.0125,0.3,5,1,180
217,bld-217,RM2,1990,residence,1,3.5,17.42815,1.48E+04,999,0.5,0.0125,0.3,5,1,180
218,bld-218,RM2,1990,residence,1,3.5,15.64826,1.33E+04,999,0.5,0.0125,0.3,5,1,180
219,bld-219,RM2,1990,residence,1,3.5,14.31525,1.22E+04,999,0.5,0.0125,0.3,5,1,180
220,bld-220,RM2,1990,residence,1,3.5,14.94692,1.27E+04,999,0.5,0.0125,0.3,5,1,180
221,bld-221,RM2,1990,residence,1,3.5,29.56984,2.51E+04,999,0.5,0.0125,0.3,5,1,180
222,bld-222,RM2,1990,residence,1,3.5,13.60172,1.16E+04,999,0.5,0.0125,0.3,5,1,180
223,bld-223,RM2,1990,residence,1,3.5,15.44182,1.31E+04,999,0.5,0.0125,0.3,5,1,180
224,bld-224,RM2,1990,residence,1,3.5,15.37783,1.31E+04,999,0.5,0.0125,0.3,5,1,180
225,bld-225,RM2,1990,residence,1,3.5,29.37824,2.50E+04,999,0.5,0.0125,0.3,5,1,180
226,bld-226,RM2,1990,residence,1,3.5,13.93005,1.18E+04,999,0.5,0.0125,0.3,5,1,180
227,bld-227,RM2,1990,residence,1,3.5,200.69244,1.71E+05,999,0.5,0.0125,0.3,5,1,180
228,bld-228,RM2,1990,residence,1,3.5,87.93344,7.47E+04,999,0.5,0.0125,0.3,5,1,180
229,bld-229,RM2,1990,residence,1,3.5,271.23663,2.31E+05,999,0.5,0.0125,0.3,5,1,180
230,bld-230,C1,1990,education,1,3.599999,240.66756,3.13E+05,999,0.5,0.0125,0.3,5,1,180
231,bld-231,C1,1990,education,1,3.599999,96.62566,1.26E+05,999,0.5,0.0125,0.3,5,1,180
232,bld-232,C1,1990,education,1,3.599999,52.28153,6.80E+04,999,0.5,0.0125,0.3,5,1,180
233,bld-233,C1,1990,education,1,3.599999,48.84274,6.35E+04,999,0.5,0.0125,0.3,5,1,180
234,bld-234,C1,1990,education,1,3.599999,150.76802,1.96E+05,999,0.5,0.0125,0.3,5,1,180
235,bld-235,C1,1990,education,1,3.599999,31.56847,4.10E+04,999,0.5,0.0125,0.3,5,1,180
236,bld-236,C1,1990,education,1,3.599999,39.24967,5.10E+04,999,0.5,0.0125,0.3,5,1,180
237,bld-237,C1,1990,education,1,3.599999,19.62324,2.55E+04,999,0.5,0.0125,0.3,5,1,180
238,bld-238,C1,1990,education,1,3.599999,133.81296,1.74E+05,999,0.5,0.0125,0.3,5,1,180
239,bld-239,C1,1990,education,1,3.599999,198.85694,2.59E+05,999,0.5,0.0125,0.3,5,1,180
240,bld-240,C1,1990,education,1,3.599999,193.60442,2.52E+05,999,0.5,0.0125,0.3,5,1,180
241,bld-241,C1,1990,education,1,3.599999,29.50847,3.84E+04,999,0.5,0.0125,0.3,5,1,180
242,bld-242,C1,1990,education,1,3.599999,153.23139,1.99E+05,999,0.5,0.0125,0.3,5,1,180
243,bld-243,C1,1990,education,1,3.599999,198.46832,2.58E+05,999,0.5,0.0125,0.3,5,1,180
244,bld-244,C1,1990,education,1,3.599999,261.75015,3.40E+05,999,0.5,0.0125,0.3,5,1,180
245,bld-245,C1,1990,education,1,3.599999,331.60086,4.31E+05,999,0.5,0.0125,0.3,5,1,180
246,bld-246,C1,1990,education,1,3.599999,342.12293,4.45E+05,999,0.5,0.0125,0.3,5,1,180
247,bld-247,C1,1990,education,1,3.599999,68.16427,8.86E+04,999,0.5,0.0125,0.3,5,1,180
248,bld-248,C1,1990,education,1,3.599999,374.067,4.86E+05,999,0.5,0.0125,0.3,5,1,180
